,age,health_ins,logwage,wage,maritl_1. Never Married,maritl_2. Married,maritl_3. Widowed,maritl_4. Divorced,maritl_5. Separated,race_1. White,race_2. Black,race_3. Asian,race_4. Other,education_1. < HS Grad,education_2. HS Grad,education_3. Some College,education_4. College Grad,education_5. Advanced Degree,region_2. Middle Atlantic,jobclass_1. Industrial,jobclass_2. Information,health_1. <=Good,health_2. >=Very Good
16,37,2. No,4.41497334797082,82.6796372966372,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
17,50,2. No,5.36055176170483,212.842352315711,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
18,56,1. Yes,4.86102634169657,129.156693004704,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
19,37,1. Yes,4.5910646070265,98.5993438603892,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
20,38,2. No,5.30102999566398,200.543262324662,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
21,40,2. No,3.92012332629072,50.406660861266005,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
22,75,1. Yes,4.447158031342219,85.3839403789827,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
23,40,2. No,5.0791812460476295,160.642475408263,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
24,38,2. No,4.54406804435028,94.0727147457005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
25,49,1. Yes,5.62618633492728,277.601417511009,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
26,43,1. Yes,4.431363764158991,84.0459576539924,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
27,34,1. Yes,4.1760912590556805,65.1108537153447,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
28,57,2. No,4.75587485567249,116.265324062503,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
29,18,1. Yes,4.25527250510331,70.47601964694451,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
30,55,1. Yes,5.27646180417324,195.67630799045295,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
31,51,1. Yes,4.6190933306267405,101.402052302992,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
32,33,2. No,4.39794000867204,81.2832532842527,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
33,34,2. No,4.7160033436348,111.720849360989,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
34,36,1. Yes,4.49847596780109,89.8800467811106,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
35,56,1. Yes,4.47712125471966,87.98103278560541,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
36,70,1. Yes,4.47712125471966,87.98103278560541,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
37,25,1. Yes,4.643452676486191,103.90247060316,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
38,32,2. No,4.662757831681571,105.927810775063,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
39,27,2. No,4.19312459835446,66.2294082943902,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
40,28,2. No,3.54406804435028,34.6074177301288,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
41,27,1. Yes,4.69897000433602,109.833985642199,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
42,43,2. No,3.81291335664286,45.282169994022,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
43,50,1. Yes,4.30102999566398,73.77574327469459,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
44,39,2. No,4.39794000867204,81.2832532842527,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
45,52,1. Yes,5.041392685158231,154.68529299563,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
46,35,1. Yes,5.59061783348625,267.901086855275,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
47,57,1. Yes,5.17609125905568,176.98965048987702,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
48,25,2. No,4.19312459835446,66.2294082943902,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
49,33,1. Yes,4.75587485567249,116.265324062503,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
50,57,2. No,5.30102999566398,200.543262324662,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
51,71,1. Yes,4.623249290397901,101.82435207568,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
52,43,1. Yes,5.606885241288571,272.294783220064,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
53,23,2. No,3.55630250076729,35.0334213214995,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
54,30,1. Yes,4.7403626894942406,114.475713290347,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
55,22,1. Yes,4.39794000867204,81.2832532842527,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
56,59,1. Yes,5.30102999566398,200.543262324662,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
57,28,1. Yes,5.0,148.413159102577,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
58,61,1. Yes,4.60205999132796,99.6894636984864,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
59,34,1. Yes,4.7160033436348,111.720849360989,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
60,43,1. Yes,5.02938377768521,152.838800991182,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
61,54,2. No,4.76342799356294,117.146816914805,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
62,69,1. Yes,4.353339095311299,77.73760330397809,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
63,41,1. Yes,4.47712125471966,87.98103278560541,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
64,48,1. Yes,4.83250891270624,125.525498433836,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
65,49,1. Yes,4.81491318127507,123.336103962059,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
66,42,1. Yes,5.06445798922692,158.294621427791,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
67,37,1. Yes,5.30102999566398,200.543262324662,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
68,55,1. Yes,4.60205999132796,99.6894636984864,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
69,21,2. No,4.25527250510331,70.47601964694451,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
70,58,1. Yes,4.54406804435028,94.0727147457005,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
71,31,2. No,4.39794000867204,81.2832532842527,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
72,25,1. Yes,4.39794000867204,81.2832532842527,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
73,32,1. Yes,4.61278385671974,100.764272842107,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
74,40,1. Yes,4.54406804435028,94.0727147457005,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
75,44,2. No,4.60205999132796,99.6894636984864,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
76,60,1. Yes,5.59198011410292,268.266292012557,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
77,23,1. Yes,4.39794000867204,81.2832532842527,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
78,63,2. No,4.732393759822969,113.567089569751,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
79,44,2. No,4.47712125471966,87.98103278560541,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
80,47,1. Yes,4.85733249643127,128.680488220624,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
81,61,1. Yes,4.67024585307412,106.723977625299,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
82,55,2. No,4.19033169817029,66.04469423180561,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
83,24,2. No,3.94200805302231,51.52195631471599,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
84,42,1. Yes,4.447158031342219,85.3839403789827,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
85,25,1. Yes,4.342422680822209,76.8936025176112,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
86,34,2. No,4.50514997831991,90.48191335664008,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
87,53,2. No,4.220631019448089,68.0764282889521,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
88,53,1. Yes,4.8750612633917,130.982177377461,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
89,70,2. No,4.85125834871908,127.901232979118,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
90,47,1. Yes,4.87691031134463,131.224593755096,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
91,46,1. Yes,4.60205999132796,99.6894636984864,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
92,33,1. Yes,4.342422680822209,76.8936025176112,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
93,34,1. Yes,4.681241237375589,107.903923866876,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
94,22,2. No,4.39794000867204,81.2832532842527,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
95,74,1. Yes,4.60205999132796,99.6894636984864,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
96,40,1. Yes,4.5910646070265,98.5993438603892,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
97,45,1. Yes,5.30102999566398,200.543262324662,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
98,43,1. Yes,5.05307844348342,156.503510882633,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
99,33,1. Yes,4.9763499790032695,144.944364980516,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
100,62,1. Yes,4.77815125038364,118.884359339886,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1
101,37,1. Yes,4.79934054945358,121.430313822622,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
102,54,1. Yes,4.7160033436348,111.720849360989,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
103,34,2. No,4.23044892137827,68.7480877337669,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
104,50,1. Yes,4.7403626894942406,114.475713290347,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
105,46,1. Yes,4.55630250076729,95.23071256698192,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
106,41,2. No,4.47712125471966,87.98103278560541,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
107,63,1. Yes,4.16316137497702,64.27439722063271,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
108,38,1. Yes,4.85733249643127,128.680488220624,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
109,35,1. Yes,4.7403626894942406,114.475713290347,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
110,29,1. Yes,4.72427586960079,112.6488963421,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
111,66,1. Yes,4.39794000867204,81.2832532842527,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
112,37,1. Yes,4.32935719413155,75.8954848228103,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
113,39,1. Yes,4.719720651334001,112.136922992214,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
114,42,2. No,4.447158031342219,85.3839403789827,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
115,51,1. Yes,4.54406804435028,94.0727147457005,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
116,55,1. Yes,4.7403626894942406,114.475713290347,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
117,51,1. Yes,5.17609125905568,176.98965048987702,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
118,38,1. Yes,5.62321723414596,276.778413321176,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
119,49,1. Yes,4.623249290397901,101.82435207568,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
120,42,2. No,4.51851393987789,91.6992261117042,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
121,43,2. No,4.46239799789896,86.6951548289402,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0
122,38,1. Yes,5.093421685162231,162.946460744664,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
123,59,1. Yes,4.93601079571521,139.213788138664,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
124,57,1. Yes,4.55630250076729,95.23071256698192,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
125,25,2. No,4.20411998265593,66.9616443217359,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
126,49,1. Yes,4.8766796104192,131.194323611687,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
127,41,1. Yes,4.50514997831991,90.48191335664008,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
128,38,1. Yes,4.7403626894942406,114.475713290347,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
129,61,1. Yes,4.37106786227174,79.12808449562971,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
130,49,1. Yes,4.65006456117768,104.591737924918,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
131,52,1. Yes,4.8864907251724805,132.487821126123,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
132,43,1. Yes,4.9542425094393305,141.77517233318,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
133,60,1. Yes,4.81291335664286,123.089699847943,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
134,46,1. Yes,4.90308998699194,134.705375118879,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
135,21,2. No,4.02118929906994,55.7673905084923,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
136,61,1. Yes,4.67209785793572,106.921814091211,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
137,32,1. Yes,4.77815125038364,118.884359339886,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
138,58,1. Yes,4.47712125471966,87.98103278560541,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
139,35,1. Yes,4.48784512011144,88.9296066367913,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
140,26,1. Yes,4.39794000867204,81.2832532842527,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
141,32,2. No,4.54406804435028,94.0727147457005,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
142,37,1. Yes,4.67209785793572,106.921814091211,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
143,22,2. No,4.0791812460476295,59.097064081589096,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
144,51,2. No,4.1760912590556805,65.1108537153447,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
145,44,1. Yes,4.79239168949825,120.589436530402,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
146,35,1. Yes,5.060697840353611,157.700527725737,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
147,60,1. Yes,4.8633228601204594,129.453644576625,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
148,40,1. Yes,5.17609125905568,176.98965048987702,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
149,35,2. No,4.0791812460476295,59.097064081589096,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
150,35,2. No,4.54406804435028,94.0727147457005,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
151,47,1. Yes,4.90308998699194,134.705375118879,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
152,43,1. Yes,4.39794000867204,81.2832532842527,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
153,33,1. Yes,4.39794000867204,81.2832532842527,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
154,60,1. Yes,5.03342375548695,153.45751530896098,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
155,38,1. Yes,4.91907809237607,136.876367635184,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
156,53,2. No,4.318063334962759,75.0431540173515,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
157,55,1. Yes,4.869231719730981,130.22083235877702,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
158,57,2. No,4.65321251377534,104.921506533664,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
159,64,2. No,3.90308998699194,49.5553381215226,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
160,43,1. Yes,4.81954393554187,123.908567597957,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
161,35,1. Yes,4.81291335664286,123.089699847943,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
162,54,2. No,4.35869609957381,78.155161407934,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
163,45,1. Yes,4.30102999566398,73.77574327469459,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
164,58,1. Yes,4.92941892571429,138.299126920883,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
165,48,2. No,4.84509804001426,127.115743812184,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
166,46,1. Yes,4.23044892137827,68.7480877337669,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
167,46,1. Yes,4.43546212055982,84.39111474778001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
168,55,1. Yes,4.447158031342219,85.3839403789827,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
169,51,1. Yes,4.85733249643127,128.680488220624,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
170,49,1. Yes,4.25527250510331,70.47601964694451,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
171,34,1. Yes,4.342422680822209,76.8936025176112,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
172,53,2. No,5.0,148.413159102577,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
173,40,1. Yes,5.0,148.413159102577,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
174,50,1. Yes,5.17026171539496,175.960883130401,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
175,37,1. Yes,4.5910646070265,98.5993438603892,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
176,39,1. Yes,4.977723605288849,145.143601176911,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
177,52,1. Yes,4.60205999132796,99.6894636984864,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
178,50,1. Yes,4.94939000664491,141.08887439127,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
179,48,1. Yes,4.81291335664286,123.089699847943,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
180,47,1. Yes,4.8633228601204594,129.453644576625,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
181,27,1. Yes,4.7160033436348,111.720849360989,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
182,39,1. Yes,4.643452676486191,103.90247060316,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
183,44,1. Yes,4.77815125038364,118.884359339886,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0
184,37,1. Yes,5.02118929906994,151.591484239814,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
185,52,2. No,4.623249290397901,101.82435207568,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
186,26,1. Yes,4.60205999132796,99.6894636984864,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
187,39,1. Yes,4.60205999132796,99.6894636984864,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
188,25,2. No,4.60205999132796,99.6894636984864,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
189,31,2. No,4.54406804435028,94.0727147457005,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
190,58,1. Yes,5.0253058652647695,152.216806827106,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
191,30,1. Yes,4.65321251377534,104.921506533664,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
192,27,1. Yes,4.1760912590556805,65.1108537153447,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
193,40,1. Yes,4.55630250076729,95.23071256698192,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
194,55,1. Yes,5.15836249209525,173.879493310012,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
195,35,1. Yes,5.26481782300954,193.411070530969,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
196,48,2. No,4.7403626894942406,114.475713290347,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
197,29,1. Yes,5.0791812460476295,160.642475408263,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
198,25,1. Yes,4.494154594018441,89.49247951800008,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
199,40,1. Yes,4.79239168949825,120.589436530402,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
200,27,2. No,4.30102999566398,73.77574327469459,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
201,44,1. Yes,4.84509804001426,127.115743812184,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
202,49,1. Yes,4.77815125038364,118.884359339886,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
203,22,2. No,3.54406804435028,34.6074177301288,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
204,45,1. Yes,4.7403626894942406,114.475713290347,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
205,33,2. No,4.447158031342219,85.3839403789827,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
206,63,1. Yes,5.76312762749814,318.342430056529,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
207,49,1. Yes,4.9542425094393305,141.77517233318,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
208,39,1. Yes,4.8750612633917,130.982177377461,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
209,25,2. No,4.30102999566398,73.77574327469459,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
210,29,1. Yes,4.8750612633917,130.982177377461,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
211,37,1. Yes,4.318063334962759,75.0431540173515,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
212,35,1. Yes,5.04336227802113,154.990260276812,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
213,46,1. Yes,4.65321251377534,104.921506533664,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0
214,58,1. Yes,4.29207877211666,73.118306923864,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
